"CLASS","NAME","DATE","Gl","Gb"
"PSR","B1718-35","1992","351.687","0.67"
"PSR","B1730-37","1992","351.577","-2.284"
"PSR","J1726-3635","2001","351.422","-0.802"
"PSR","J1732-3729","2003","351.288","-2.211"
"PSR","J1708-3426","1996","351.083","3.407"
"PSR","J1700-3312","1996","351.055","5.489"
"PSR","J1612-2408","2009","351.011","19.446"
"PSR","B1620-26","1988","350.976","15.96"
"PSR","B1718-36","1992","350.934","-0.001"
"PSR","J1744-3922","2004","350.908","-5.155"
"PSR","J1728-3733","2001","350.842","-1.656"
"PSR","J1705-3423","1996","350.721","3.975"
"PSR","J1723-3659","2001","350.682","-0.409"
"PSR","B1737-39","1978","350.555","-4.749"
"PSR","J1720-36","2015","350.515","0.016"
"PSR","B1719-37","1978","350.49","-0.507"
"PSR","J1708-3506","2010","350.47","3.124"
"PSR","J1720-3659","2001","350.332","0.1"
"PSR","J1742-3957","2006","350.209","-5.135"
"PSR","J1747-4036","2012","350.208","-6.412"
"PSR","J1739-3951","2006","350.039","-4.69"
"PSR","J1718-3714","2004","349.928","0.237"
"PSR","J1718-3718","2004","349.849","0.216"
"PSR","J1715-3700","2001","349.757","0.886"
"PSR","J1433+00","2016","349.749","53.792"
"PSR","J1716-3720","2001","349.596","0.519"
"PSR","J1648-3256","1996","349.586","7.749"
"PSR","J1709-3626","2003","349.578","2.095"
"PSR","J1723-38","2015","349.557","-1.149"
"PSR","J1717-3737","2003","349.491","0.182"
"PSR","J1725-3848","2003","349.384","-1.741"
"PSR","J1725-3853","2012","349.372","-1.856"
"PSR","J1733-4005","2004","349.266","-3.895"
"PSR","J1708-3641","2015","349.235","2.13"
"PSR","J1718-3825","2001","348.951","-0.432"
"PSR","J1710-37","2015","348.808","1.343"
"PSR","J1700-3611","2006","348.679","3.672"
"PSR","J1717-3847","2003","348.551","-0.494"
"PSR","J1726-4006","2004","348.481","-2.711"
"PSR","B1552-23","1978","348.441","22.5"
"PSR","J1743-4212","2001","348.381","-6.464"
"PSR","J1603-2531","1996","348.375","19.985"
"PSR","J1728-4028","2006","348.375","-3.218"
"PSR","J1711-3826","2003","348.197","0.591"
"PSR","J1715-3859","2006","348.194","-0.348"
