x,y,source
9.2928,33.66815433374238,GLEAM-X J1627
7.1424,26.89876139347198,GLEAM-X J1627
7.1424,28.057129162544054,GLEAM-X J1627
5.299200000000001,22.534678615342656,GLEAM-X J1627
12.9792,22.0364779249824,GLEAM-X J1627
11.136,27.969586486320235,GLEAM-X J1627
9.2928,29.33020407672861,GLEAM-X J1627
11.136,27.80223296316951,GLEAM-X J1627
11.136,26.299633447638424,GLEAM-X J1627
5.299200000000001,15.269578810784074,GLEAM-X J1627
5.568,14.637724507081034,GLEAM-X J1627
6.489599999999999,8.865155948680108,GLEAM-X J1627
9.216,0.017273088,ILT J1101+5521
5.76,0.019813248,ILT J1101+5521
9.216,0.065028096,ILT J1101+5521
4.608,0.011684736,ILT J1101+5521
8.064,0.023623488,ILT J1101+5521
6.911999999999999,0.031243968,ILT J1101+5521
10.368,0.010414656,ILT J1101+5521
90.0,15.792241849553276,ASKAP J1832-0911
40.0,1.9205656053990328,ASKAP J1832-0911
120.0,1.9225383799682887,ASKAP J1832-0911
140.0,2.2115845077631167,ASKAP J1832-0911
220.0,84.12403641920326,ASKAP J1832-0911
210.0,169.3594991218963,ASKAP J1832-0911
210.0,96.1107080192652,ASKAP J1832-0911
210.0,106.37113835418737,ASKAP J1832-0911
210.0,154.54054376610785,ASKAP J1832-0911
220.0,85.76082934375272,ASKAP J1832-0911
220.0,100.65869432001566,ASKAP J1832-0911
200.0,118.45379731455988,ASKAP J1832-0911
210.0,121.16063542613595,ASKAP J1832-0911
220.0,119.64911922106089,ASKAP J1832-0911
220.0,147.876596074072,ASKAP J1832-0911
210.0,35.4772634955615,ASKAP J1832-0911
200.0,31.9808142314377,ASKAP J1832-0911
210.0,43.74075622106513,ASKAP J1832-0911
210.0,43.320697768009005,ASKAP J1832-0911
200.0,38.01771352576348,ASKAP J1832-0911
200.0,35.63412095569326,ASKAP J1832-0911
210.0,39.02467896922178,ASKAP J1832-0911
210.0,30.52292071266045,ASKAP J1832-0911
220.0,32.32645319089394,ASKAP J1832-0911
220.0,43.724054474862925,ASKAP J1832-0911
210.0,19.98305081917524,ASKAP J1832-0911
210.0,18.045772228633847,ASKAP J1832-0911
250.0,14.300645406843577,ASKAP J1832-0911
240.0,15.08724179884112,ASKAP J1832-0911
240.0,16.829137204732096,ASKAP J1832-0911
230.0,14.889943226330974,ASKAP J1832-0911
240.0,15.633956976991744,ASKAP J1832-0911
240.0,15.640786165712113,ASKAP J1832-0911
230.0,15.232985650039955,ASKAP J1832-0911
230.0,14.083269319200625,ASKAP J1832-0911
240.0,13.720785572485784,ASKAP J1832-0911
240.0,13.45151418958776,ASKAP J1832-0911
240.0,15.637673319866105,ASKAP J1832-0911
